"C1","C2","C3","C4","C5","C6","C7","C8","Browser","Appl","Goog","FB","Wind","Twtr","Joy","Sams","Gmail","SB","DCM","KDDI","Description"
"<U+1F4A5>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A5>","","","","","","","","","—","","","collision"
"<U+1F4AB>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4AB>","","","","","","","","","—","—","","dizzy"
"<U+1F4A6>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A6>","","","","","","","","","","","","sweat droplets"
"<U+1F4A8>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A8>","","","","","","","","","","","","dashing away"
"<U+1F573>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F573>","","","","","","","","—","—","—","—","hole"
"<U+1F4A3>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A3>","","","","","","","","","","","","bomb"
"<U+1F4AC>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4AC>","","","","","","","","","—","—","","speech balloon"
"<U+1F441>","<U+FE0F>","<U+200D>","<U+1F5E8>","<U+FE0F>",NA,NA,NA,"<U+0001F441><U+FE0F><U+200D><U+0001F5E8><U+FE0F>","","","","","","","","—","—","—","—","eye in speech bubble"
"<U+1F5E8>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F5E8>","","","","","","","","—","—","—","—","left speech bubble"
"<U+1F5EF>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F5EF>","","","","","","","","—","—","—","—","right anger bubble"
"<U+1F4AD>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4AD>","","","","","","","","—","—","—","—","thought balloon"
"<U+1F4A4>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A4>","","","","","","","","","","","","zzz"
"<U+1F44B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44B>","","","","","","","","","","—","","waving hand"
"<U+1F91A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91A>","","","","","","","","—","—","—","—","raised back of hand"
"<U+1F590>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F590>","","","","","","","","—","—","—","—","hand with fingers splayed"
"<U+270B>",NA,NA,NA,NA,NA,NA,NA,"<U+270B>","","","","","","","","","","","","raised hand"
"<U+1F596>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F596>","","","","","","","","—","—","—","—","vulcan salute"
"<U+1F44C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44C>","","","","","","","","","","—","","OK hand"
"<U+1F90C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F90C>","—","","—","—","","","—","—","—","—","—","pinched fingers"
"<U+1F90F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F90F>","","","","","","","","—","—","—","—","pinching hand"
"<U+270C>",NA,NA,NA,NA,NA,NA,NA,"<U+270C>","","","","","","","","","","","","victory hand"
"<U+1F91E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91E>","","","","","","","","—","—","—","—","crossed fingers"
"<U+1F91F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91F>","","","","","","","","—","—","—","—","love-you gesture"
"<U+1F918>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F918>","","","","","","","","—","—","—","—","sign of the horns"
"<U+1F919>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F919>","","","","","","","","—","—","—","—","call me hand"
"<U+1F448>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F448>","","","","","","","","","","—","","backhand index pointing left"
"<U+1F449>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F449>","","","","","","","","","","—","","backhand index pointing right"
"<U+1F446>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F446>","","","","","","","","","","—","","backhand index pointing up"
"<U+1F595>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F595>","","","","","","","","—","—","—","—","middle finger"
"<U+1F447>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F447>","","","","","","","","","","—","","backhand index pointing down"
"<U+261D>",NA,NA,NA,NA,NA,NA,NA,"<U+261D>","","","","","","","","","","—","","index pointing up"
"<U+1F44D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44D>","","","","","","","","","","","","thumbs up"
"<U+1F44E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44E>","","","","","","","","","","—","","thumbs down"
"<U+270A>",NA,NA,NA,NA,NA,NA,NA,"<U+270A>","","","","","","","","","","","","raised fist"
"<U+1F44A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44A>","","","","","","","","","","","","oncoming fist"
"<U+1F91B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91B>","","","","","","","","—","—","—","—","left-facing fist"
"<U+1F91C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91C>","","","","","","","","—","—","—","—","right-facing fist"
"<U+1F44F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F44F>","","","","","","","","","","—","","clapping hands"
"<U+1F64C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F64C>","","","","","","","","","","—","","raising hands"
"<U+1F450>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F450>","","","","","","","","","","—","—","open hands"
"<U+1F932>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F932>","","","","","","","","—","—","—","—","palms up together"
"<U+1F91D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F91D>","","","","","","","","—","—","—","—","handshake"
"<U+1F64F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F64F>","","","","","","","","","","—","","folded hands"
"<U+270D>",NA,NA,NA,NA,NA,NA,NA,"<U+270D>","","","","","","","","—","—","—","—","writing hand"
"<U+1F485>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F485>","","","","","","","","","","—","","nail polish"
"<U+1F933>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F933>","","","","","","","","—","—","—","—","selfie"
"<U+1F4AA>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4AA>","","","","","","","","","","—","","flexed biceps"
"<U+1F9BE>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9BE>","","","","","","","","—","—","—","—","mechanical arm"
"<U+1F9BF>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9BF>","","","","","","","","—","—","—","—","mechanical leg"
"<U+1F9B5>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9B5>","","","","","","","","—","—","—","—","leg"
